,Year,Month,RF_mm,RF_in
0,1920.0,1.0,155.65416425540124,6.128116702968553
1,1920.0,2.0,24.89761013454861,0.9802208714389218
2,1920.0,3.0,89.98854046103395,3.542855923662754
3,1920.0,4.0,48.82362196180556,1.922189841015967
4,1920.0,5.0,81.93205054012346,3.225671281107223
5,1920.0,6.0,20.236385392554013,0.7967080863210242
6,1920.0,7.0,14.00946723090278,0.5515538279882984
7,1920.0,8.0,13.438619731385032,0.5290795169836627
8,1920.0,9.0,14.141765829957562,0.5567624342502977
9,1920.0,10.0,14.807941201292438,0.5829898110745054
10,1920.0,11.0,35.13654694733796,1.3833286199739356
11,1920.0,12.0,289.41116898148147,11.394140511081948
12,1921.0,1.0,226.78879726080248,8.928692805543406
13,1921.0,2.0,54.40688295717592,2.142003266030548
14,1921.0,3.0,20.399231710551696,0.8031193586831377
15,1921.0,4.0,27.89861834490741,1.0983708009806068
16,1921.0,5.0,20.704035252700617,0.8151194981378196
17,1921.0,6.0,27.704734519675927,1.0907375795148004
18,1921.0,7.0,6.499660162278164,0.255892132373156
19,1921.0,8.0,8.16866726345486,0.3216010733643646
20,1921.0,9.0,9.320918330439817,0.3669652885999927
21,1921.0,10.0,81.96408420138889,3.2269324488735784
22,1921.0,11.0,18.879053940007715,0.7432698401577841
23,1921.0,12.0,126.68196614583331,4.987478982119423
24,1922.0,1.0,61.37422236689815,2.4163079672007144
25,1922.0,2.0,32.67585057388117,1.2864508099953218
26,1922.0,3.0,72.64491705246914,2.8600361044279192
27,1922.0,4.0,38.47663182388117,1.514828024562251
28,1922.0,5.0,18.27861870659722,0.7196306577400481
29,1922.0,6.0,8.223723234953704,0.3237686312973899
30,1922.0,7.0,2.910889425395448,0.1146019458817105
31,1922.0,8.0,21.26429277584877,0.8371768809389278
32,1922.0,9.0,80.00493706597223,3.1498006718886704
33,1922.0,10.0,55.335738570601855,2.1785723846693643
34,1922.0,11.0,27.545084635416668,1.0844521510006562
35,1922.0,12.0,11.29006694275656,0.4444908245179748
36,1923.0,1.0,216.98268711419752,8.54262547693691
37,1923.0,2.0,94.9934413580247,3.739899266063965
38,1923.0,3.0,114.276065779321,4.499057707847284
39,1923.0,4.0,138.66506317515433,5.4592544557147376
40,1923.0,5.0,6.936207712432484,0.2730790437965545
41,1923.0,6.0,4.176893446180555,0.1644446238653762
42,1923.0,7.0,3.790610984519676,0.1492366529338455
43,1923.0,8.0,52.650607638888886,2.0728585684601923
44,1923.0,9.0,25.37308304398148,0.9989402773221056
45,1923.0,10.0,16.931425118152006,0.6665915400847247
46,1923.0,11.0,9.200568305121529,0.3622270986268318
47,1923.0,12.0,232.7143614969136,9.16198273609896
48,1924.0,1.0,12.445112063560956,0.4899650418724787
49,1924.0,2.0,28.715497805748456,1.1305314096751362
50,1924.0,3.0,103.93070023148148,4.091759851633129
51,1924.0,4.0,359.0921826774691,14.137487506986972
52,1924.0,5.0,27.811149691358025,1.094927153203072
53,1924.0,6.0,12.921784577546296,0.5087316762813503
54,1924.0,7.0,15.456973982445987,0.6085422827734641
55,1924.0,8.0,4.870864303023727,0.1917663111426664
56,1924.0,9.0,17.300734531732253,0.6811312807768604
57,1924.0,10.0,38.18785264756944,1.5034587656523404
58,1924.0,11.0,29.537263093171298,1.1628843737469017
59,1924.0,12.0,145.01534770447532,5.709265657656509
60,1925.0,1.0,38.55653211805556,1.5179737054352582
61,1925.0,2.0,7.401248884789737,0.2913877513696747
62,1925.0,3.0,66.02320842978395,2.599338914558423
63,1925.0,4.0,33.199607566550924,1.307071164037438
64,1925.0,5.0,9.734781147521218,0.383259100296111
65,1925.0,6.0,4.431086787471065,0.1744522357272072
66,1925.0,7.0,14.204303505979938,0.5592245474795252
67,1925.0,8.0,6.410512665171682,0.2523823883925859
68,1925.0,9.0,40.4562686873071,1.5927664837522482
69,1925.0,10.0,43.41539171006944,1.7092673901602145
70,1925.0,11.0,38.06132752218364,1.498477461503293
71,1925.0,12.0,80.17487099729938,3.156490984145645
72,1926.0,1.0,34.46013575424383,1.3566982580410958
73,1926.0,2.0,13.325609748746142,0.5246303050687458
74,1926.0,3.0,27.63579644097222,1.0880234819280403
75,1926.0,4.0,26.12559377411265,1.0285666840201833
76,1926.0,5.0,6.276901056737076,0.2471220888479164
77,1926.0,6.0,108.44709683641976,4.269570741591329
78,1926.0,7.0,29.687138310185187,1.1687849728419366
79,1926.0,8.0,33.67431640625,1.3257604884350394
80,1926.0,9.0,50.91943359375,2.0047021099901574
81,1926.0,10.0,47.41886091820987,1.866884288118499
82,1926.0,11.0,10.40007339289159,0.4094517083815587
83,1926.0,12.0,31.420494550540123,1.2370273445094535
84,1927.0,1.0,82.71062403549382,3.2563237809249537
85,1927.0,2.0,66.36162350501543,2.612662342717143
86,1927.0,3.0,206.14679783950615,8.116015662972684
87,1927.0,4.0,95.4944480613426,3.759623939422937
88,1927.0,5.0,56.28916497878087,2.216108857432318
89,1927.0,6.0,9.06386688609182,0.356845152995741
90,1927.0,7.0,11.739087516878858,0.4621687998771204
91,1927.0,8.0,16.83285861545139,0.6627109691122595
