Year,Month,RF_mm,RF_in
1920.0,1.0,116.35786707261029,4.581018388685445
1920.0,2.0,78.49044979319854,3.0901751887086037
1920.0,3.0,559.8930376838235,22.04303297967809
1920.0,4.0,205.35121783088235,8.08469361538907
1920.0,5.0,11.856228996725644,0.46678066916242694
1920.0,6.0,48.906698787913605,1.925460582201323
1920.0,7.0,149.9521484375,5.903627891240157
1920.0,8.0,148.3832289751838,5.841859408471804
1920.0,9.0,199.94707892922793,7.871932241308187
1920.0,10.0,282.9771082261029,11.140831032523739
1920.0,11.0,226.61181640625,8.921725055364174
1920.0,12.0,230.5661190257353,9.07740626085572
1921.0,1.0,1085.0280330882354,42.71763909796203
1921.0,2.0,62.788078756893384,2.471971604602102
1921.0,3.0,318.1632869944853,12.52611366120021
1921.0,4.0,250.65768612132354,9.868412839422186
1921.0,5.0,87.69913976332721,3.4527220379262684
1921.0,6.0,36.689187442555145,1.444456198525793
1921.0,7.0,301.64065372242646,11.875616288284506
1921.0,8.0,281.52619485294116,11.083708458777211
1921.0,9.0,178.09432444852942,7.011587576713757
1921.0,10.0,290.43049172794116,11.4342713278717
1921.0,11.0,967.3892463235294,38.08619080013896
1921.0,12.0,525.6171875,20.69359005905512
1922.0,1.0,577.9361787683823,22.75339286489694
1922.0,2.0,545.7427619485294,21.48593550978462
1922.0,3.0,923.0496897977941,36.34053896841709
1922.0,4.0,267.99658203125,10.551046536663387
1922.0,5.0,166.3916015625,6.550850455216536
1922.0,6.0,41.89776252297794,1.6495182095660608
1922.0,7.0,116.6077019186581,4.590854406246382
1922.0,8.0,223.90854779411765,8.815297157248727
1922.0,9.0,398.41552734375,15.685650682824804
1922.0,10.0,141.50382008272058,5.571016538689787
1922.0,11.0,441.6669347426471,17.388461997742013
1922.0,12.0,43.1640625,1.699372539370079
1923.0,1.0,771.6218405330883,30.378812619412926
1923.0,2.0,280.65412454044116,11.049374981907134
1923.0,3.0,677.4229090073529,26.670193268006024
1923.0,4.0,451.2056525735294,17.76400206982399
1923.0,5.0,215.49612247242646,8.48409930993805
1923.0,6.0,180.8644588694853,7.120647986987611
1923.0,7.0,254.69198069852942,10.027243334587773
1923.0,8.0,485.96495863970586,19.132478686602592
1923.0,9.0,281.8150275735294,11.095079825729504
1923.0,10.0,346.2218232996324,13.630780444867417
1923.0,11.0,215.61385569852942,8.488734476320056
1923.0,12.0,797.0618106617648,31.38038624652617
1924.0,1.0,79.59494198069854,3.1336591330983676
1924.0,2.0,286.3918887867647,11.275271212077351
1924.0,3.0,232.20062614889707,9.141756934995948
1924.0,4.0,605.6892233455883,23.84603241518064
1924.0,5.0,141.42661420036765,5.567976937022348
1924.0,6.0,50.43658088235294,1.9856921607225568
1924.0,7.0,236.3469956341912,9.304999828117763
1924.0,8.0,286.99195772058823,11.298895973251506
1924.0,9.0,109.52495978860294,4.3120062908898795
1924.0,10.0,517.0126953125,20.354830524114174
1924.0,11.0,424.7887752757353,16.72396753054076
1924.0,12.0,89.48451861213235,3.523012543784738
1925.0,1.0,334.6685431985294,13.175926897579899
